uid,ST1_GAP(eV)
test_0,0.8881068825721741
test_1,2.086320638656616
test_2,1.1275712251663208
test_3,0.7876198291778564
test_4,1.0636680126190186
test_5,0.48487749695777893
test_6,1.183890700340271
test_7,0.9218145608901978
test_8,1.180416464805603
test_9,0.9963061213493347
test_10,0.0
test_11,0.9446505904197693
test_12,0.6494096517562866
test_13,0.14961786568164825
test_14,1.1000391244888306
test_15,1.1519089937210083
test_16,1.0821335315704346
test_17,0.5543293356895447
test_18,1.1213189363479614
test_19,1.1640433073043823
test_20,0.20254458487033844
test_21,1.2360355854034424
test_22,0.5795040130615234
test_23,0.45014721155166626
test_24,1.088356852531433
test_25,0.8629977107048035
test_26,0.8689709305763245
test_27,0.5619267821311951
test_28,1.1110973358154297
test_29,1.0314290523529053
test_30,0.4409271478652954
test_31,0.7571317553520203
test_32,1.1999061107635498
test_33,0.9013540148735046
test_34,0.6752207279205322
test_35,0.9400550723075867
test_36,0.8313787579536438
test_37,0.5546084046363831
test_38,0.2967858612537384
test_39,2.3243179321289062
test_40,1.4777547121047974
test_41,1.0599702596664429
test_42,0.9534152150154114
test_43,0.2725030481815338
test_44,1.5319596529006958
test_45,1.160244107246399
test_46,0.9227634072303772
test_47,0.9798097610473633
test_48,1.1879165172576904
test_49,0.8915793299674988
test_50,1.0952316522598267
test_51,1.0258134603500366
test_52,1.336061716079712
test_53,1.0204148292541504
test_54,1.3210500478744507
test_55,1.266016960144043
test_56,0.5722339153289795
test_57,1.1190589666366577
test_58,1.1800804138183594
test_59,0.8115354180335999
test_60,0.11423298716545105
test_61,0.7274020910263062
test_62,0.47930747270584106
test_63,0.7477866411209106
test_64,0.5322284698486328
test_65,0.05096901208162308
test_66,1.1230038404464722
test_67,0.8891249895095825
test_68,0.8126113414764404
test_69,1.077843427658081
test_70,1.385345458984375
test_71,1.2395447492599487
test_72,0.7067537903785706
test_73,1.2244458198547363
test_74,1.0755025148391724
test_75,0.5082191228866577
test_76,0.7496250867843628
test_77,0.7566037178039551
test_78,1.1263930797576904
test_79,0.9830855131149292
test_80,0.7432079315185547
test_81,0.7837621569633484
test_82,1.0512621402740479
test_83,0.5740715861320496
test_84,0.5666530728340149
test_85,1.1919341087341309
test_86,0.7372272610664368
test_87,0.6513775587081909
test_88,0.8334866762161255
test_89,1.0436934232711792
test_90,1.0631455183029175
test_91,0.5141158699989319
test_92,0.561882734298706
test_93,0.614685595035553
test_94,0.5134968757629395
test_95,0.49218347668647766
test_96,0.8185873627662659
test_97,1.073716640472412
test_98,0.5527935028076172
test_99,0.6823429465293884
test_100,1.077772855758667
test_101,0.7581863403320312
test_102,1.1208062171936035
test_103,0.8717312216758728
test_104,0.8361007571220398
test_105,1.132707953453064
test_106,0.7005147337913513
test_107,0.42473912239074707
test_108,1.1826728582382202
test_109,0.4277254641056061
test_110,0.16555818915367126
test_111,0.7514368295669556
test_112,1.0160480737686157
test_113,0.8321492075920105
test_114,1.0109035968780518
test_115,1.0887742042541504
test_116,0.05949797481298447
test_117,1.2753660678863525
test_118,1.105468988418579
test_119,0.6494791507720947
test_120,0.9606256484985352
test_121,1.3576905727386475
test_122,0.6870886087417603
test_123,1.0163472890853882
test_124,0.7400261759757996
test_125,0.9066932797431946
test_126,0.9932276606559753
test_127,0.6886535882949829
test_128,0.9222323298454285
test_129,0.7132068276405334
test_130,0.7896159887313843
test_131,0.7565981149673462
test_132,0.5762717723846436
test_133,0.28278735280036926
test_134,0.8189235329627991
test_135,1.2945702075958252
test_136,1.0604385137557983
test_137,1.3055920600891113
test_138,0.4348571002483368
test_139,1.0634101629257202
test_140,1.1574137210845947
test_141,0.92754727602005
test_142,0.9247571229934692
test_143,0.6713885068893433
test_144,1.0918437242507935
test_145,1.241868495941162
test_146,0.8007625937461853
test_147,1.3317854404449463
test_148,0.9255837202072144
test_149,1.1114604473114014
test_150,0.5936596393585205
test_151,1.226277470588684
test_152,0.006674302741885185
test_153,1.0690144300460815
test_154,1.2851777076721191
test_155,0.7372940182685852
test_156,0.5377700924873352
test_157,1.17335844039917
test_158,1.165467619895935
test_159,0.6080060005187988
test_160,1.0537049770355225
test_161,0.5650706887245178
test_162,0.827822744846344
test_163,1.0279980897903442
